data_date,market_month,price_settle
2021-11-12,JAN 24,1189.25
2021-11-15,JAN 24,1196.5
2021-11-16,JAN 24,1193.75
2021-11-17,JAN 24,1197.5
2021-11-18,JAN 24,1182.25
2021-11-19,JAN 24,1186.5
2021-11-22,JAN 24,1191.0
2021-11-23,JAN 24,1188.25
2021-11-24,JAN 24,1185.75
2021-11-26,JAN 24,1181.25
2021-11-29,JAN 24,1172.0
2021-11-30,JAN 24,1161.25
2021-12-01,JAN 24,1162.5
2021-12-02,JAN 24,1165.75
2021-12-03,JAN 24,1171.5
2021-12-06,JAN 24,1171.5
2021-12-07,JAN 24,1175.25
2021-12-08,JAN 24,1184.75
2021-12-09,JAN 24,1188.25
2021-12-10,JAN 24,1188.75
2021-12-13,JAN 24,1176.5
2021-12-14,JAN 24,1185.5
2021-12-15,JAN 24,1181.0
2021-12-16,JAN 24,1186.0
2021-12-17,JAN 24,1186.0
2021-12-20,JAN 24,1188.0
2021-12-21,JAN 24,1187.5
2021-12-22,JAN 24,1196.25
2021-12-23,JAN 24,1190.25
2021-12-27,JAN 24,1197.5
2021-12-28,JAN 24,1194.0
2021-12-29,JAN 24,1200.0
2021-12-30,JAN 24,1195.0
2021-12-31,JAN 24,1198.75
2022-01-03,JAN 24,1207.25
2022-01-04,JAN 24,1209.5
2022-01-05,JAN 24,1211.75
2022-01-06,JAN 24,1226.5
2022-01-07,JAN 24,1238.25
2022-01-10,JAN 24,1233.75
2022-01-11,JAN 24,1233.75
2022-01-12,JAN 24,1247.0
2022-01-13,JAN 24,1250.5
2022-01-14,JAN 24,1239.75
2022-01-18,JAN 24,1233.25
2022-01-19,JAN 24,1253.25
2022-01-20,JAN 24,1262.5
2022-01-21,JAN 24,1251.0
2022-01-24,JAN 24,1243.0
2022-01-25,JAN 24,1256.5
2022-01-26,JAN 24,1261.75
2022-01-27,JAN 24,1260.0
2022-01-28,JAN 24,1256.0
2022-01-31,JAN 24,1257.75
2022-02-01,JAN 24,1273.0
2022-02-02,JAN 24,1264.0
2022-02-03,JAN 24,1264.25
2022-02-04,JAN 24,1262.5
2022-02-07,JAN 24,1276.5
2022-02-08,JAN 24,1280.0
2022-02-09,JAN 24,1294.75
2022-02-10,JAN 24,1281.0
2022-02-11,JAN 24,1291.25
2022-02-14,JAN 24,1295.75
2022-02-15,JAN 24,1296.5
2022-02-16,JAN 24,1306.75
2022-02-17,JAN 24,1305.0
2022-02-18,JAN 24,1311.5
2022-02-22,JAN 24,1325.75
2022-02-23,JAN 24,1330.5
2022-02-24,JAN 24,1305.0
2022-02-25,JAN 24,1285.75
2022-02-28,JAN 24,1306.25
2022-03-01,JAN 24,1344.75
2022-03-02,JAN 24,1322.0
2022-03-03,JAN 24,1310.75
2022-03-04,JAN 24,1303.0
2022-03-07,JAN 24,1288.5
2022-03-08,JAN 24,1287.0
2022-03-09,JAN 24,1299.0
2022-03-10,JAN 24,1314.75
2022-03-11,JAN 24,1315.75
2022-03-14,JAN 24,1308.75
2022-03-15,JAN 24,1301.75
2022-03-16,JAN 24,1293.0
2022-03-17,JAN 24,1301.25
2022-03-18,JAN 24,1315.0
2022-03-21,JAN 24,1335.0
2022-03-22,JAN 24,1341.75
2022-03-23,JAN 24,1347.5
2022-03-24,JAN 24,1346.0
2022-03-25,JAN 24,1350.5
2022-03-28,JAN 24,1334.5
2022-03-29,JAN 24,1327.75
2022-03-30,JAN 24,1340.75
2022-03-31,JAN 24,1314.0
2022-04-01,JAN 24,1315.5
2022-04-04,JAN 24,1344.75
2022-04-05,JAN 24,1354.25
2022-04-06,JAN 24,1348.25
2022-04-07,JAN 24,1370.5
2022-04-08,JAN 24,1390.75
2022-04-11,JAN 24,1388.5
2022-04-12,JAN 24,1403.25
2022-04-13,JAN 24,1401.0
2022-04-14,JAN 24,1402.0
2022-04-18,JAN 24,1414.25
2022-04-19,JAN 24,1422.5
2022-04-20,JAN 24,1429.25
2022-04-21,JAN 24,1430.5
2022-04-22,JAN 24,1415.5
2022-04-25,JAN 24,1412.25
2022-04-26,JAN 24,1424.0
2022-04-27,JAN 24,1435.25
2022-04-28,JAN 24,1434.5
2022-04-29,JAN 24,1422.75
2022-05-02,JAN 24,1407.25
2022-05-03,JAN 24,1404.5
2022-05-04,JAN 24,1410.75
2022-05-05,JAN 24,1415.75
2022-05-06,JAN 24,1395.5
2022-05-09,JAN 24,1375.0
2022-05-10,JAN 24,1376.0
2022-05-11,JAN 24,1378.5
2022-05-12,JAN 24,1379.0
2022-05-13,JAN 24,1379.25
2022-05-16,JAN 24,1383.25
2022-05-17,JAN 24,1403.25
2022-05-18,JAN 24,1389.0
2022-05-19,JAN 24,1401.25
2022-05-20,JAN 24,1411.0
2022-05-23,JAN 24,1406.75
2022-05-24,JAN 24,1406.75
2022-05-25,JAN 24,1408.5
2022-05-26,JAN 24,1421.75
2022-05-27,JAN 24,1424.0
2022-05-31,JAN 24,1400.0
2022-06-01,JAN 24,1395.25
2022-06-02,JAN 24,1408.25
2022-06-03,JAN 24,1406.5
2022-06-06,JAN 24,1406.0
2022-06-07,JAN 24,1418.0
2022-06-08,JAN 24,1429.0
2022-06-09,JAN 24,1431.0
2022-06-10,JAN 24,1416.5
2022-06-13,JAN 24,1396.25
2022-06-14,JAN 24,1395.75
2022-06-15,JAN 24,1395.0
2022-06-16,JAN 24,1409.25
2022-06-17,JAN 24,1403.0
2022-06-21,JAN 24,1395.5
2022-06-22,JAN 24,1375.25
2022-06-23,JAN 24,1331.75
2022-06-24,JAN 24,1331.25
2022-06-27,JAN 24,1331.25
2022-06-28,JAN 24,1358.5
2022-06-29,JAN 24,1366.5
2022-06-30,JAN 24,1339.0
2022-07-01,JAN 24,1301.75
2022-07-05,JAN 24,1241.5
2022-07-06,JAN 24,1241.75
2022-07-07,JAN 24,1261.25
2022-07-08,JAN 24,1288.25
2022-07-11,JAN 24,1296.25
2022-07-12,JAN 24,1254.0
2022-07-13,JAN 24,1265.5
2022-07-14,JAN 24,1259.5
2022-07-15,JAN 24,1258.0
2022-07-18,JAN 24,1287.75
2022-07-19,JAN 24,1275.5
2022-07-20,JAN 24,1252.75
2022-07-21,JAN 24,1227.5
2022-07-22,JAN 24,1242.5
2022-07-25,JAN 24,1271.75
2022-07-26,JAN 24,1294.0
2022-07-27,JAN 24,1309.25
2022-07-28,JAN 24,1338.75
2022-07-29,JAN 24,1352.75
2022-08-01,JAN 24,1317.25
2022-08-02,JAN 24,1304.0
2022-08-03,JAN 24,1288.75
2022-08-04,JAN 24,1329.25
2022-08-05,JAN 24,1327.25
2022-08-08,JAN 24,1324.25
2022-08-09,JAN 24,1341.25
2022-08-10,JAN 24,1344.5
2022-08-11,JAN 24,1366.0
2022-08-12,JAN 24,1368.25
2022-08-15,JAN 24,1346.25
2022-08-16,JAN 24,1328.75
2022-08-17,JAN 24,1329.0
2022-08-18,JAN 24,1345.25
2022-08-19,JAN 24,1344.25
2022-08-22,JAN 24,1374.25
2022-08-23,JAN 24,1391.75
2022-08-24,JAN 24,1381.0
2022-08-25,JAN 24,1363.25
2022-08-26,JAN 24,1384.25
2022-08-29,JAN 24,1365.0
2022-08-30,JAN 24,1363.75
2022-08-31,JAN 24,1358.25
2022-09-01,JAN 24,1338.25
2022-09-02,JAN 24,1353.0
2022-09-06,JAN 24,1339.0
