Date,Open,High,Low,Close
02/29/2024,"103.92","104.20","103.66","104.16"
02/28/2024,"103.84","104.24","103.81","103.98"
02/27/2024,"103.78","103.92","103.61","103.83"
02/26/2024,"103.93","104.02","103.71","103.83"
02/23/2024,"103.95","104.05","103.77","103.94"
02/22/2024,"103.91","104.13","103.43","103.96"
02/21/2024,"104.04","104.21","103.94","104.01"
02/20/2024,"104.32","104.41","103.80","104.08"
02/19/2024,"104.28","104.37","104.14","104.25"
02/16/2024,"104.30","104.67","104.17","104.30"
02/15/2024,"104.66","104.71","104.18","104.30"
02/14/2024,"104.84","104.98","104.66","104.72"
02/13/2024,"104.18","104.96","103.97","104.96"
02/12/2024,"104.08","104.28","103.90","104.17"
02/09/2024,"104.14","104.26","103.95","104.11"
02/08/2024,"104.03","104.43","103.96","104.17"
02/07/2024,"104.15","104.17","103.94","104.06"
02/06/2024,"104.44","104.59","104.14","104.21"
02/05/2024,"104.01","104.60","103.99","104.45"
02/02/2024,"102.99","104.04","102.90","103.92"
02/01/2024,"103.51","103.81","103.02","103.05"
01/31/2024,"103.42","103.74","102.94","103.27"
01/30/2024,"103.44","103.61","103.31","103.40"
01/29/2024,"103.47","103.82","103.40","103.61"
01/26/2024,"103.52","103.73","103.15","103.43"
01/25/2024,"103.35","103.68","103.12","103.57"
01/24/2024,"103.51","103.55","102.77","103.24"
01/23/2024,"103.35","103.82","102.98","103.62"
01/22/2024,"103.27","103.37","103.11","103.33"
01/19/2024,"103.37","103.55","103.24","103.29"
01/18/2024,"103.37","103.63","103.15","103.54"
01/17/2024,"103.36","103.69","103.26","103.45"
01/16/2024,"102.74","103.43","102.74","103.36"
01/15/2024,"102.44","102.67","102.31","102.40"
01/12/2024,"102.30","102.59","102.09","102.40"
01/11/2024,"102.30","102.76","102.16","102.29"
01/10/2024,"102.48","102.64","102.34","102.36"
01/09/2024,"102.22","102.66","102.11","102.57"
01/08/2024,"102.41","102.62","102.08","102.21"
01/05/2024,"102.40","103.10","101.91","102.41"
01/04/2024,"102.46","102.53","102.15","102.42"
01/03/2024,"102.15","102.73","102.08","102.49"
01/02/2024,"101.42","102.25","101.34","102.20"
